# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 27 14:20:48 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr < 10
# CONSTRAINT:  and pl_radestr > 4
# CONSTRAINT:  and ttv_flag = 0
# CONSTRAINT:  and pl_trandepstr > 0.5
# CONSTRAINT:  and pl_trandurstr < 4
# CONSTRAINT:  and sy_vmagstr < 12.9)
#
# COLUMN pl_name:        Planet Name
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tsystemref:  Time Reference Frame and Standard
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN elat:           Ecliptic Latitude [deg]
# COLUMN elon:           Ecliptic Longitude [deg]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_icmag:       I (Cousins) Magnitude
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_kepmag:      Kepler Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,rastr,ra,decstr,dec,default_flag,pl_refname,pl_orbper,pl_rade,pl_radj,pl_orbeccen,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_refname,st_teff,st_rad,st_logg,sy_refname,glat,glon,elat,elon,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate
KELT-7 b,05h13m10.94s,78.2955912,+33d19m04.63s,33.3179532,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,2.73476510000,17.80500000,1.58845844,,,2460662.48520200,BJD,0,,0.92090000,3.2050000,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,6767.90,1.770000,4.100000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-3.36514,172.51277,10.28088,80.07541,8.9970000,8.5600000,7.7390000,7.5800000,7.5430000,,,,,,7.4960000,7.5250000,7.5240000,7.1370000,8.4517300,,8.1484700,,2025-08-07,2017-07,2024-12-10
KELT-7 b,05h13m10.94s,78.2955912,+33d19m04.63s,33.3179532,0,<a refstr=BIERYLA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...12B/abstract target=ref>Bieryla et al. 2015</a>,2.73477490000,17.18339700,1.53300000,0.000000,83.76000,2456355.22980900,BJD-TDB,0,0.597000,0.82800000,3.5112000,5.490000,0.09097000,<a refstr=BIERYLA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150...12B/abstract target=ref>Bieryla et al. 2015</a>,6789.00,1.732000,4.149000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-3.36514,172.51277,10.28088,80.07541,8.9970000,8.5600000,7.7390000,7.5800000,7.5430000,,,,,,7.4960000,7.5250000,7.5240000,7.1370000,8.4517300,,8.1484700,,2018-04-25,2015-07,2015-06-04
TOI-1518 b,23h29m04.20s,352.2675207,+67d02m05.30s,67.0348062,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,1.90260596148,19.57650396,1.74650171,,,2459854.41458000,BJD,0,,0.89849897,2.3653693,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,9918.00,1.822410,4.320000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.43873,115.00859,59.95659,39.44110,9.2060000,8.9520000,8.4290000,8.3840000,8.3250000,,,,,,8.2700010,8.2980000,8.3130000,7.9960000,8.8952900,,8.7512700,,2023-06-27,2017-07,2023-06-27
TOI-1518 b,23h29m04.20s,352.2675207,+67d02m05.30s,67.0348062,1,<a refstr=SIMONNIN_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.314S/abstract target=ref>Simonnin et al. 2025</a>,1.90261131000,21.05046575,1.87800000,,77.62600,2459983.79194200,BJD-TDB,0,0.880600,0.98800000,2.3950000,4.109000,0.09939000,<a refstr=SIMONNIN_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.314S/abstract target=ref>Simonnin et al. 2025</a>,7299.00,1.942000,4.136000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.43873,115.00859,59.95659,39.44110,9.2060000,8.9520000,8.4290000,8.3840000,8.3250000,,,,,,8.2700010,8.2980000,8.3130000,7.9960000,8.8952900,,8.7512700,,2026-02-12,2025-06,2026-02-12
TOI-778 b,13h17m20.12s,199.3338503,-15d16m25.34s,-15.2737046,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,4.63361550000,15.24530000,1.36009691,,,2459574.94270900,BJD,0,,0.76600000,3.5570000,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,6780.00,1.680000,4.082470,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,47.13485,312.13301,-6.58352,203.60249,9.5070000,9.1090000,8.2460000,8.0900000,8.0550000,,,,,,8.0030000,8.0350000,7.9930000,7.9070000,8.9943600,,8.6900900,,2024-09-16,2017-07,2024-09-16
KELT-17 b,08h22m28.18s,125.6174070,+13d44m07.11s,13.7353093,1,<a refstr=ZHOU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..136Z/abstract target=ref>Zhou et al. 2016</a>,3.08017160000,17.09372500,1.52500000,,84.87000,2457226.14219400,BJD-TDB,0,0.570000,0.90700000,3.4752000,6.380000,0.09526000,<a refstr=ZHOU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..136Z/abstract target=ref>Zhou et al. 2016</a>,7454.00,1.645000,4.220000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,26.27651,210.37718,-5.52448,124.63179,9.5330000,9.2340000,8.7450000,8.6970000,8.6460000,,,,,,8.6200000,8.6580000,8.6260000,8.3150000,9.2088700,,9.0209700,,2019-12-02,2016-11,2016-09-08
KELT-17 b,08h22m28.18s,125.6174070,+13d44m07.11s,13.7353093,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,3.08017952767,17.06130004,1.52210986,,,2459502.39494500,BJD,0,,0.89264323,3.4870958,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,7511.00,1.701690,4.210000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,26.27651,210.37718,-5.52448,124.63179,9.5330000,9.2340000,8.7450000,8.6970000,8.6460000,,,,,,8.6200000,8.6580000,8.6260000,8.3150000,9.2088700,,9.0209700,,2024-12-10,2017-07,2024-12-10
HAT-P-70 b,04h58m12.56s,74.5523332,+09d59m52.73s,9.9979794,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,2.74432160000,20.18520000,1.80080603,,,2459197.00754400,BJD,0,,1.00710000,3.4200000,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,8730.00,1.970000,4.190000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-19.66114,189.96459,-12.60904,74.40351,9.6210000,9.4700000,9.0680000,9.0230000,8.9630000,,,,,,8.9410000,8.9610000,8.9410000,8.3330000,9.4517400,,9.3371000,,2024-01-05,2017-07,2024-01-05
HAT-P-70 b,04h58m12.56s,74.5523332,+09d59m52.73s,9.9979794,1,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,2.74432452000,20.96083000,1.87000000,0.000000,96.50000,2458439.57519000,BJD-TDB,0,-0.629000,0.84430000,3.4800000,5.450000,0.09887000,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>,8450.00,1.858000,4.181000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-19.66114,189.96459,-12.60904,74.40351,9.6210000,9.4700000,9.0680000,9.0230000,8.9630000,,,,,,8.9410000,8.9610000,8.9410000,8.3330000,9.4517400,,9.3371000,,2019-08-12,2019-10,2019-08-15
WASP-7 b,20h44m10.26s,311.0427558,-39d13m31.75s,-39.2254856,0,<a refstr=HELLIER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...690L..89H/abstract target=ref> Hellier et al. 2008 </a>,4.95465800000,10.25623500,0.91500000,0.000000,89.60000,2453985.01490000,,0,0.080000,0.57900000,3.7752000,,,<a refstr=HELLIER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...690L..89H/abstract target=ref> Hellier et al. 2008 </a>,6400.00,1.236000,4.363000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-37.87718,2.82200,-20.35184,302.85206,9.9780000,9.5040000,8.6480000,8.4140000,8.3960000,,,,,,8.3570000,8.3760000,8.3550000,8.2090000,9.3767100,,9.0532000,,2018-05-14,2009-01,2018-05-10
WASP-7 b,20h44m10.26s,311.0427558,-39d13m31.75s,-39.2254856,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,4.95464800000,13.08890000,1.16771546,,,2460148.59990000,BJD,0,,0.73570000,3.6390000,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,6562.00,1.470000,4.240000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-37.87718,2.82200,-20.35184,302.85206,9.9780000,9.5040000,8.6480000,8.4140000,8.3960000,,,,,,8.3570000,8.3760000,8.3550000,8.2090000,9.3767100,,9.0532000,,2023-10-21,2017-07,2023-10-21
WASP-76 b,01h46m31.90s,26.6329360,+02d42m01.40s,2.7003890,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,1.80988112935,21.95555489,1.95874678,,,2460985.48446100,BJD,0,,1.30335613,3.7636624,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,6278.20,1.891210,3.970000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-57.34698,149.08514,-7.75221,25.68783,10.1320000,9.5180000,8.5410000,8.3310000,8.2430000,,,,,,8.1900000,8.2280000,8.2080000,8.0640000,9.3950700,,9.0270600,,2026-03-12,2017-07,2022-08-09
WASP-76 b,01h46m31.90s,26.6329360,+02d42m01.40s,2.7003890,0,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,1.80988600000,20.51247000,1.83000000,0.000000,88.00000,2456107.85507000,HJD-UTC,0,0.140000,1.18900000,3.6936000,,,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,6250.00,1.730000,4.128000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-57.34698,149.08514,-7.75221,25.68783,10.1320000,9.5180000,8.5410000,8.3310000,8.2430000,,,,,,8.1900000,8.2280000,8.2080000,8.0640000,9.3950700,,9.0270600,,2016-01-20,2016-01,2016-01-21
WASP-76 b,01h46m31.90s,26.6329360,+02d42m01.40s,2.7003890,1,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,1.80988198000,20.78145022,1.85400000,0.000000,89.62300,2458080.62616500,BJD,0,0.027000,1.17800000,3.8000000,4.080000,0.10852000,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,6329.00,1.756000,4.196000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-57.34698,149.08514,-7.75221,25.68783,10.1320000,9.5180000,8.5410000,8.3310000,8.2430000,,,,,,8.1900000,8.2280000,8.2080000,8.0640000,9.3950700,,9.0270600,,2024-07-12,2020-04,2024-07-12
